Sample_ID,File_Name,Modality,Quality_Profile,GT_Student_Name,GT_University,Classic_Extracted_Text_Snippet,Name_Match,University_Match
1,DOC-0010905E.pdf,PDF,clean,Lakshay Sinha,Indira Gandhi College of Engineering,ACADEMIC BENCHMARK SPECIMEN Indira Gandhi College of Engineering Empowering Mind,1,1
2,DOC-001A07AB.pdf,PDF,clean,Prashant Kulkarni,Vivekananda Technical University,ACADEMIC BENCHMARK SPECIMEN Vivekananda Technical University Excellence in Engin,1,1
3,DOC-001F58BA.pdf,PDF,clean,Harsh Patel,Sri Ramanujan Institute of Technology,"ACADEMIC BENCHMARK SPECIMEN Sri Ramanujan Institute of Technology Innovation, Re",1,1
4,DOC-0024DCD6.pdf,PDF,clean,Siddharth Nair,Indira Gandhi College of Engineering,ACADEMIC BENCHMARK SPECIMEN Indira Gandhi College of Engineering Empowering Mind,1,1
5,DOC-0031A4A3.pdf,PDF,clean,Kavya Sharma,Indira Gandhi College of Engineering,ACADEMIC BENCHMARK SPECIMEN Indira Gandhi College of Engineering Empowering Mind,1,1
6,DOC-0010905E_clean.png,PNG,clean,Lakshay Sinha,Indira Gandhi College of Engineering,,0,0
7,DOC-001A07AB_clean.png,PNG,clean,Prashant Kulkarni,Vivekananda Technical University,,0,0
8,DOC-001F58BA_clean.png,PNG,clean,Harsh Patel,Sri Ramanujan Institute of Technology,,0,0
9,DOC-0024DCD6_clean.png,PNG,clean,Siddharth Nair,Indira Gandhi College of Engineering,,0,0
10,DOC-0031A4A3_clean.png,PNG,clean,Kavya Sharma,Indira Gandhi College of Engineering,,0,0
11,DOC-0010905E_scanner_copy.png,PNG,scanner_copy,Lakshay Sinha,Indira Gandhi College of Engineering,,0,0
12,DOC-001A07AB_scanner_copy.png,PNG,scanner_copy,Prashant Kulkarni,Vivekananda Technical University,,0,0
13,DOC-001F58BA_scanner_copy.png,PNG,scanner_copy,Harsh Patel,Sri Ramanujan Institute of Technology,,0,0
